site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
AL2,60.134231,19.983900,60.134367,19.983907,T1,P1,0,4,,,,no,,,,,,,,,,,,,,,2017,Y2
AL2,60.134231,19.983900,60.134367,19.983907,T1,P1,0,6,,,,no,,,,,,,,,,,,,,,2017,Y2
AL2,60.134231,19.983900,60.134367,19.983907,T1,P1,0,92,,,,no,,,,,,,,,,,,,,,2017,Y2
AL2,60.134231,19.983900,60.134367,19.983907,T1,P1,0,46,,,,no,,,,,,,,,,,,,,,2017,Y2
AL2,60.134231,19.983900,60.134367,19.983907,T1,P1,0,244,,,no,yes,1,1,7,110,6,1,85,5,seeds dispersed,yes,"brown spots, wrinkle",yes,large bite,,2017,Y2
AL2,60.134231,19.983900,60.134367,19.983907,T1,P1,0,238,,,no,yes,4,1,5,110,6,2,150,7,seeds dispersed,no,,yes,"large bite, weevil",,2017,Y2
AL2,60.134231,19.983900,60.134367,19.983907,T1,P1,0,238,,,no,yes,4,2,3,150,11,0,,,,yes,brown spots,yes,large bites,,2017,Y2
AL2,60.134231,19.983900,60.134367,19.983907,T1,P1,0,238,,,no,yes,4,3,4,112,5,0,,,,yes,purple spots,yes,large bites,,2017,Y2
AL2,60.134231,19.983900,60.134367,19.983907,T1,P1,0,238,,,,no,4,4,5,154,9,0,,,,yes,brown spots,yes,"large bite, weevil",,2017,Y2
AL2,60.134231,19.983900,60.134367,19.983907,T1,P1,0,58,,,no,yes,1,1,6,154,9,0,,,,yes,brown spots,yes,"large bites, weevil",,2017,Y2
